Infeccion,Lavado,incidencia_observada,incidencia_pronosticada,error_t,error_t1
4,0,38.73,41.76264706,3.0326,18.21048872
9,3,24.04,42.25048872,18.2105,19.48264706
3,1,12.58,32.06264706,19.4826,11.64264706
12,3,8.96,20.60264706,11.6426,-2.725714286
9,5,17.75,15.02428571,-2.7257,12.60264706
9,3,13.17,25.77264706,12.6026,-2.467352941
11,5,23.66,21.19264706,-2.4674,10.95264706
12,8,20.73,31.68264706,10.9526,6.647647059
13,7,22.105,28.75264706,6.6476,2.227647059
14,10,27.9,30.12764706,2.2276,11.80264706
8,4,15.28,35.23764706,19.9576,9.392647059
12,6,13.91,23.30264706,9.3926,3.1809375
12,9,4.94,8.1209375,3.1809,-5.337222222
16,13,9.755,4.417777778,-5.3372,4.789285714
10,2,11.03,15.81928571,4.7893,5.837647059
10,2,13.215,19.05264706,5.8376,-0.492352941
11,4,21.73,21.23764706,-0.4924,-5.257352941
16,13,35.01,29.75264706,-5.2574,22.35264706
14,10,20.68,43.03264706,22.3526,-18.53735294
11,5,47.24,28.70264706,-18.5374,16.44048872
