Date;Incidencia
01/01/2017;36.25
01/02/2017;26.5
01/03/2017;21.1
01/04/2017;18.14
01/05/2017;8.72
01/06/2017;2.45
01/07/2017;2.29
01/08/2017;12.3
01/09/2017;22.1
01/10/2017;45.2
01/11/2017;51.28
01/12/2017;63.37
01/01/2018;35.2
01/02/2018;36.4
01/03/2018;15.9
01/04/2018;9.2
01/05/2018;8.4
01/06/2018;28.79
01/07/2018;23.11
01/08/2018;29.21
01/09/2018;41.1
01/10/2018;39.72
01/11/2018;39.61
01/12/2018;27.82
01/01/2019;35.21
01/02/2019;36.4
01/03/2019;15.91
01/04/2019;9.21
01/05/2019;8.39
01/06/2019;28.78
01/07/2019;55.92
01/08/2019;67.3
