Fecha_median;num_mes;ano;incidencia
16/01/2015;1;2015;50.3775
05/02/2015;2;2015;43.88333333
19/03/2015;3;2015;28.575
22/04/2015;4;2015;27.92652174
08/05/2015;5;2015;18.84297101
05/06/2015;6;2015;11.33539474
19/07/2015;7;2015;20.39941176
18/08/2015;8;2015;20.47205882
16/09/2015;9;2015;21.21635135
13/10/2015;10;2015;24.09977778
18/11/2015;11;2015;27.5206383
17/12/2015;12;2015;31.76791667
20/01/2016;1;2016;41.09155556
11/02/2016;2;2016;45.50256757
16/03/2016;3;2016;31.5653012
14/04/2016;4;2016;19.43742857
18/05/2016;5;2016;13.97115942
15/06/2016;6;2016;21.21221053
13/07/2016;7;2016;19.80727273
14/08/2016;8;2016;25.71727273
17/09/2016;9;2016;25.51977778
18/10/2016;10;2016;28.2640625
16/11/2016;11;2016;31.46586207
20/12/2016;12;2016;37.86034483
18/01/2017;1;2017;40.74566667
09/02/2017;2;2017;28.30714286
09/03/2017;3;2017;18.96621622
18/04/2017;4;2017;11.44393939
17/05/2017;5;2017;12.3873913
13/06/2017;6;2017;14.23378378
12/07/2017;7;2017;14.82
15/08/2017;8;2017;27.71827586
19/09/2017;9;2017;34.83
13/10/2017;10;2017;35.11575758
17/11/2017;11;2017;41.29647059
13/12/2017;12;2017;39.71904762
15/01/2018;1;2018;40.99368421
15/02/2018;2;2018;31.825
13/03/2018;3;2018;14.97769231
04/04/2018;4;2018;7.1325
