fecha,precip,tmean
01/03/2017,0,24.13333333
01/04/2017,0,26.06666667
01/05/2017,12.73333333,25.76666667
01/06/2017,23.26666667,24.2
10/03/2017,0.4,20.7
10/04/2017,1.533333333,24.5
10/05/2017,2.133333333,24.7
10/06/2017,14.5,23.43333333
11/03/2017,2.5,23.56666667
11/04/2017,0,22.36666667
11/05/2017,2.466666667,25.2
11/06/2017,14.63333333,23.6
12/03/2017,0.133333333,24.1
12/04/2017,0.5,21.96666667
12/05/2017,16.16666667,24.9
12/06/2017,5.5,24.03333333
13/03/2017,0.633333333,23.86666667
13/04/2017,0.1,22.63333333
13/05/2017,18.73333333,24.86666667
13/06/2017,3.333333333,23.66666667
14/03/2017,1.2,23.8
14/04/2017,0,23.26666667
14/05/2017,9.5,24.8
14/06/2017,28.6,23.66666667
15/03/2017,1.533333333,21.16666667
15/04/2017,0.1,23.2
15/05/2017,2.066666667,24.8
15/06/2017,28.46666667,23.1
16/03/2017,3.966666667,19.45
16/04/2017,0.533333333,23.43333333
16/05/2017,0.666666667,25.13333333
16/06/2017,30.8,23.06666667
17/03/2017,0.1,20.56666667
17/04/2017,7.5,23.76666667
17/05/2017,0.033333333,25.06666667
17/06/2017,13,22.66666667
18/03/2017,2.9,18.65
18/04/2017,1.9,24.8
18/05/2017,4.533333333,24.76666667
18/06/2017,4.6,22.53333333
19/03/2017,0.2,20.26666667
19/04/2017,7.8,24.86666667
19/05/2017,38.25,25.43333333
19/06/2017,2.033333333,22.43333333
02/03/2017,0,23.7
02/04/2017,0,25.13333333
02/05/2017,1.666666667,25.4
02/06/2017,3,24.26666667
20/03/2017,0.133333333,20.5
20/04/2017,14.13333333,23.9
20/05/2017,5.433333333,24.6
20/06/2017,39.96666667,22.43333333
21/03/2017,0,20.33333333
21/04/2017,0.033333333,23.9
21/05/2017,9.4,20.96666667
21/06/2017,17.66666667,22.73333333
22/03/2017,0,20.26666667
22/04/2017,1,23.13333333
22/05/2017,3.1,22.96666667
22/06/2017,5.633333333,23.96666667
23/03/2017,0,20.36666667
23/04/2017,1.633333333,22.73333333
23/05/2017,1.333333333,24.7
23/06/2017,0.533333333,23.66666667
24/03/2017,0,21.6
24/04/2017,0,24.23333333
24/05/2017,0,24.53333333
24/06/2017,2.533333333,21.56666667
25/03/2017,0,22.03333333
25/04/2017,0.4,25.16666667
25/05/2017,27,22.36666667
25/06/2017,3.4,21.4
26/03/2017,0,23.46666667
26/04/2017,0,22.53333333
26/05/2017,6.5,24
26/06/2017,3.133333333,23.66666667
27/03/2017,0,23
27/04/2017,0,25.93333333
27/05/2017,32.2,21.13333333
27/06/2017,10.13333333,23.6
28/03/2017,0,24.13333333
28/04/2017,10.26666667,21.96666667
28/05/2017,3.5,23.63333333
28/06/2017,14.33333333,23.1
29/03/2017,0,25.1
29/04/2017,0.733333333,22.76666667
29/05/2017,0.066666667,22.93333333
29/06/2017,2,21.06666667
03/03/2017,2.066666667,21.8
03/04/2017,0.6,26.26666667
03/05/2017,10.13333333,25.06666667
03/06/2017,0.4,24.36666667
30/03/2017,0,24.03333333
30/04/2017,0,28.73333333
30/05/2017,1.133333333,22.9
30/06/2017,1.1,23.5
31/03/2017,0,19.8
31/05/2017,22.5,22.36666667
04/03/2017,0.4,22.2
04/04/2017,0.133333333,26.7
04/05/2017,18.4,25
04/06/2017,7.6,24.73333333
05/03/2017,0,22.43333333
05/04/2017,0,21.13333333
05/05/2017,15.76666667,22.46666667
05/06/2017,2.533333333,24.93333333
06/03/2017,0,22.86666667
06/04/2017,0,24.56666667
06/05/2017,0,22.9
06/06/2017,17.96666667,24.86666667
07/03/2017,0.133333333,23.6
07/04/2017,0,24.2
07/05/2017,0.066666667,23.23333333
07/06/2017,0.7,24.73333333
08/03/2017,0,22.86666667
08/04/2017,0,23.2
08/05/2017,0,24.23333333
08/06/2017,31.8,24.63333333
09/03/2017,0,22.93333333
09/04/2017,0,23.93333333
09/05/2017,0,24.46666667
09/06/2017,16.3,24
