fecha,pais,altitud,variedad,incidencia
20/04/2017,honduras,1097,catuai,0.18
20/04/2017,honduras,865,mezcla,2.79
29/04/2017,honduras,1157,catuai,30.99
29/04/2017,honduras,1092,catuai,9.38
19/04/2017,honduras,1052,catuai,3.93
24/04/2017,honduras,1037,catuai,0.48
27/04/2017,honduras,1040,bourbon,15.12
28/04/2017,honduras,1198,pacas,8.78
29/04/2017,honduras,1198,catuai,4.89
24/04/2017,honduras,984,catuai,7.43
27/04/2017,honduras,1157,catuai,8.47
27/04/2017,honduras,1092,catuai,4.03
24/04/2017,honduras,1063,catuai,2.69
25/04/2017,honduras,1180,catuai,0
05/04/2017,honduras,965,catuai,0
24/04/2017,honduras,1126,catuai,0.39
25/04/2017,honduras,1020,catuai,5.43
30/04/2017,honduras,925,catuai,6.85
27/04/2017,honduras,1116,catuai,7.48
27/04/2017,honduras,1180,catuai,0.88
27/04/2017,honduras,1125,catuai,0.88
18/04/2017,honduras,1030,java,1.74
27/04/2017,honduras,1030,java,1.62
27/04/2017,honduras,1134,catuai,2.74
26/04/2017,honduras,965,catuai,0.21
20/04/2017,honduras,1168,mezcla,5
24/04/2017,honduras,865,catuai,1.85
29/04/2017,honduras,1188,bourbon,10.08
26/04/2017,honduras,1085,catuai,10.53
27/04/2017,honduras,1051,mezcla,1.42
24/04/2017,honduras,1080,catuai,1.21
26/04/2017,honduras,947,catuai,0.12
25/04/2017,honduras,756,catuai,25.07
18/04/2017,honduras,1051,mezcla,3.56
27/04/2017,honduras,1113,catuai,7.89
26/04/2017,honduras,1173,catuai,0
27/04/2017,honduras,1198,catuai,1.24
27/04/2017,honduras,900,pacas,18.85
27/04/2017,honduras,1188,bourbon,3.99
24/04/2017,honduras,1068,pacamara,8.11
21/04/2017,honduras,890,mezcla,1.92
24/04/2017,honduras,873,catuai,0.25
27/04/2017,honduras,959,villa sarchi,5.35
25/04/2017,honduras,1042,mezcla,3.27
27/04/2017,honduras,913,pacas,16.28
25/04/2017,honduras,941,mezcla,15.38
26/04/2017,honduras,1108,caturra,9.59
25/04/2017,honduras,1125,catuai,0
20/04/2017,honduras,1097,catuai,9.63
19/04/2017,honduras,950,catuai,12.61
20/04/2017,honduras,1097,catuai,0.21
19/04/2017,honduras,1193,catuai,4.1
20/04/2017,honduras,1030,catuai,22.59
29/04/2017,honduras,1040,bourbon,4.13
20/04/2017,honduras,1030,catuai,15.68
20/04/2017,honduras,1143,catuai,3.68
20/04/2017,honduras,1097,catuai,2.01
20/04/2017,honduras,1160,mezcla,0
20/04/2017,honduras,1157,catuai,8.57
20/04/2017,honduras,1171,pacas,3.87
26/04/2017,honduras,934,pacas,31.11
20/04/2017,honduras,1163,mezcla,11.38
19/04/2017,honduras,980,catuai,3.93
19/04/2017,honduras,1035,catuai,4.79
28/06/2017,honduras,1157,catuai,17.77
28/06/2017,honduras,1198,catuai,3.49
22/06/2017,honduras,1042,mezcla,4.85
20/06/2017,honduras,1030,catuai,1.04
21/06/2017,honduras,941,mezcla,20.25
22/06/2017,honduras,1171,catuai,4.14
28/06/2017,honduras,1050,mezcla,3.42
27/06/2017,honduras,1164,catuai,0.2
28/06/2017,honduras,1188,bourbon,10.87
21/06/2017,honduras,756,catuai,20.77
22/06/2017,honduras,1125,catuai,1.24
19/06/2017,honduras,1068,pacamara,7.83
22/06/2017,honduras,1037,catuai,8.01
27/06/2017,honduras,934,pacas,7.85
27/06/2017,honduras,1157,catuai,9.12
27/06/2017,honduras,1040,bourbon,4.18
22/06/2017,honduras,1157,catuai,11.33
27/06/2017,honduras,1085,catuai,26.38
30/06/2017,honduras,1140,catuai,0.73
23/06/2017,honduras,1051,mezcla,0
23/06/2017,honduras,1171,pacas,0.95
20/06/2017,honduras,965,catuai,0
27/06/2017,honduras,1092,catuai,4.57
21/06/2017,honduras,1180,catuai,1.08
21/06/2017,honduras,1063,catuai,1.01
19/06/2017,honduras,873,catuai,0
23/06/2017,honduras,1134,catuai,3.51
22/06/2017,honduras,950,catuai,0.39
21/06/2017,honduras,865,mezcla,0.23
23/06/2017,honduras,1030,java,0
26/06/2017,honduras,1160,mezcla,0
20/06/2017,honduras,865,catuai,0.67
23/06/2017,honduras,1116,catuai,1.95
20/06/2017,honduras,1180,catuai,0
21/06/2017,honduras,913,pacas,8.04
20/06/2017,honduras,1113,catuai,14.13
22/06/2017,honduras,1080,catuai,12.62
19/06/2017,honduras,890,mezcla,0.87
22/06/2017,honduras,900,pacas,8.09
26/06/2017,honduras,980,catuai,0
19/06/2017,honduras,1108,caturra,3.87
26/06/2017,honduras,1163,mezcla,2.82
19/06/2017,honduras,1126,catuai,0.67
22/06/2017,honduras,1020,catuai,0
21/06/2017,honduras,1193,catuai,17.5
20/06/2017,honduras,1052,catuai,0
27/06/2017,honduras,1173,catuai,0.74
23/06/2017,honduras,1035,catuai,1.89
21/06/2017,honduras,1125,catuai,0.93
19/06/2017,honduras,947,catuai,0
21/06/2017,honduras,1198,pacas,7.36
22/06/2017,honduras,1168,mezcla,5.21
21/06/2017,honduras,959,villa sarchi,9.85
29/03/2017,honduras,934,pacas,16.35
29/03/2017,honduras,934,pacas,0
24/03/2017,honduras,1188,bourbon,37.48
11/03/2017,honduras,1134,catuai,1.77
29/03/2017,honduras,934,pacas,0
25/03/2017,honduras,1040,bourbon,17.26
24/03/2017,honduras,1157,catuai,20.08
25/03/2017,honduras,1092,catuai,21.72
24/03/2017,honduras,1198,catuai,11.23
23/05/2017,honduras,1180,catuai,0
28/05/2017,honduras,1035,catuai,1.8
26/05/2017,honduras,1125,catuai,0.3
26/05/2017,honduras,1125,catuai,2.38
26/05/2017,honduras,834,pacas,6.24
26/05/2017,honduras,913,pacas,10.69
03/05/2017,honduras,834,pacas,0
23/05/2017,honduras,965,catuai,0
26/05/2017,honduras,1188,bourbon,8.24
26/05/2017,honduras,1157,catuai,5.57
26/05/2017,honduras,1160,mezcla,0
24/05/2017,honduras,1180,catuai,0
25/05/2017,honduras,1020,catuai,0.91
25/05/2017,honduras,1037,catuai,12.66
22/05/2017,honduras,1052,catuai,0.35
24/05/2017,honduras,1126,catuai,0.56
23/05/2017,honduras,890,mezcla,2.82
25/05/2017,honduras,1116,catuai,2.82
24/05/2017,honduras,1063,catuai,0.69
26/05/2017,honduras,1092,catuai,5.41
23/05/2017,honduras,941,mezcla,11.32
24/05/2017,honduras,1193,catuai,10
24/05/2017,honduras,950,catuai,0.16
26/05/2017,honduras,1171,pacas,1.09
24/05/2017,honduras,865,catuai,1.45
27/05/2017,honduras,1030,java,0.21
24/05/2017,honduras,1030,catuai,0.96
23/05/2017,honduras,934,pacas,9.67
24/05/2017,honduras,873,catuai,0
26/05/2017,honduras,1157,catuai,12.22
24/05/2017,honduras,1168,mezcla,1.97
26/05/2017,honduras,925,catuai,6.56
24/05/2017,honduras,756,catuai,8.21
23/05/2017,honduras,1134,catuai,0.2
29/05/2017,honduras,865,mezcla,1.85
27/05/2017,honduras,1051,mezcla,1.5
25/05/2017,honduras,900,pacas,6.83
25/05/2017,honduras,1080,catuai,6.96
26/05/2017,honduras,1042,mezcla,5.47
26/05/2017,honduras,1198,catuai,3.73
24/05/2017,honduras,1068,pacamara,2
22/05/2017,honduras,947,catuai,1.06
24/05/2017,honduras,1163,mezcla,5.62
25/05/2017,honduras,1113,catuai,5.15
24/05/2017,honduras,980,catuai,0
26/05/2017,honduras,1040,bourbon,3.98
